trade_id,account,trade_date,amount,currency,trade_type,instrument,quantity
TRD001,ACC200,2024-03-01,50000,USD,buy,AAPL,100
TRD002,ACC201,2024-03-02,-200,USD,sell,TSLA,50
TRD003,,2024-03-03,12000,eur,buy,MSFT,30
TRD004,ACC202,03/04/2024,8500,GBP,trade,GOOG,10
TRD005,ACC203,2024-03-05,22000,ZAR,sell,MTN,200
TRD006,ACC204,2024-03-06,9900,USD,buy,NVDA,15
TRD007,ACC205,2024-03-07,0,ZAR,buy,SOL,500
TRD008,ACC206,2024-03-08,31500,USD,sell,AMZN,25
TRD009,ACC207,2024-03-09,7800,EUR,buy,SAP,40
TRD010,ACC208,2024-03-10,4400,GBP,sell,BP,80
